,Name,Link
0,"<span class=""a-size-base-plus a-color-base a-text-normal"">LEVOIT LV600S Humidifiers for Bedroom Large Room Home, 6L Warm and Cool Mist Top Fill Ultrasonic Air Vaporizer, Smart App &amp; Voice Control, Quickly Humidify Whole House up to 753 sq.ft, Sleep Mode</span>",/LEVOIT-Humidifiers-Essential-Customized-Humidity/dp/B095KGXPW5/ref=lp_19185106011_1_1
1,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Smart Thermostat – ENERGY STAR certified, DIY install, Works with Alexa – C-wire required</span>",/Amazon-Smart-Thermostat/dp/B08J4C8871/ref=lp_19185106011_1_2
2,"<span class=""a-size-base-plus a-color-base a-text-normal"">Govee Envisual TV LED Backlights for 75-85 inch TVs, 16.4ft RGBIC WiFi DreamView T1 TV Backlights with Camera, Works with Alexa &amp; Google Assistant, App Control, LED Lights for TV, Scene Mode, H6199</span>",/Govee-Immersion-Backlights-Assistant-Control/dp/B09J4PPFK2/ref=lp_19185106011_1_3
3,"<span class=""a-size-base-plus a-color-base a-text-normal"">LEVOIT Classic300S Ultrasonic Smart Top Fill Humidifier, Extra Large 6L Tank for Whole Family, APP &amp; Voice Control, Humidity Setting with Sensor, Quiet Sleep Mode, Night Light, Essential Oil Diffuser</span>",/LEVOIT-Humidifiers-Ultrasonic-Essential-Customized/dp/B09C24TYGQ/ref=lp_19185106011_1_4
4,"<span class=""a-size-base-plus a-color-base a-text-normal"">LEVOIT Air Purifiers for Home Large Room, Covers up to 3175 Sq. Ft, Smart WiFi and PM2.5 Monitor, H13 True HEPA Filter Removes 99.97% of Particles, Pet Allergies, Smoke, Dust, Auto Mode, Alexa Control</span>",/LEVOIT-Purifiers-Monitor-Particles-Allergies/dp/B09BJMY8HL/ref=lp_19185106011_1_5
5,"<span class=""a-size-base-plus a-color-base a-text-normal"">Govee Smart Light Bulbs, WiFi &amp; Bluetooth LED Light Bulbs, RGBWW Color Changing Light Bulbs, 54 Dynamic Scenes, Music Sync, 16 Million DIY Colors Dimmable, Work with Alexa &amp; Google Assistant, 2 Pack</span>",/Govee-Changing-Bluetooth-Dimmable-Assistant/dp/B09B7QNYHR/ref=lp_19185106011_1_6
6,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Smart Air Quality Monitor – Know your air, Works with Alexa– A Certified for Humans Device</span>",/Introducing-Amazon-Smart-Quality-Monitor/dp/B08W8KS8D3/ref=lp_19185106011_1_7
7,"<span class=""a-size-base-plus a-color-base a-text-normal"">Certified Refurbished Ring Video Doorbell Wired – Convenient, essential features in a compact design (existing doorbell wiring required) - 2021 release</span>",/Introducing-Ring-Video-Doorbell-Wired/dp/B08JN8FBWD/ref=lp_19185106011_1_8
8,"<span class=""a-size-base-plus a-color-base a-text-normal"">Kasa 4MP 2K Security Camera Outdoor Wired, IP65, Starlight Sensor &amp; 98 Ft Night Vision, Motion/Person Detection, 2-Way Audio w/Siren, Cloud/SD Card Storage, Alexa &amp;Google Assistant Compatible(KC420WS)</span>",/Kasa-Starlight-Detection-Compatible-KC420WS/dp/B09SBRB59Z/ref=lp_19185106011_1_9
9,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Basics Single Pole Smart Switch, Neutral Wire Required, 2.4 Ghz WiFi, Works with Alexa</span>",/Amazon-Basics-Single-Neutral-Required/dp/B095X911T8/ref=lp_19185106011_1_10
10,"<span class=""a-size-base-plus a-color-base a-text-normal"">Govee Smart WiFi Humidifiers for Bedroom, Top Fill Cool Mist Humidifiers for Baby and Plants, Work with Alexa, Auto Humidity Adjustment, 24 dB Super Quiet, Essential Oil Diffuser, 24H Timer, 3L</span>",/Govee-Humidifiers-Bedroom-Essential-Humidifier/dp/B098PBQP1K/ref=lp_19185106011_1_11
11,"<span class=""a-size-base-plus a-color-base a-text-normal"">COSORI Air Fryer-Dual Blaze Smart Airfryer, 6.8-Quart, Precise Temps Prevent Overcooking, Heating Adjusts for a True Air Fry, Bake, Toast, and Broil, Even and Fast Cooking, In-App Recipes, 1750W</span>",/COSORI-6-8-Quart-Preheat-Precise-Overcooking/dp/B09BJHB2BD/ref=lp_19185106011_1_12
